epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.51371,4.1785,5.75813,3.06188,0,0,0,0,3.80132,6.24121,3.54732,2.5e-05,2.5e-05,2.5e-05
2,4.91916,3.7722,6.40908,2.79553,0,0,0,0,3.78453,6.05023,3.59601,5.94062e-05,5.94062e-05,5.94062e-05
3,7.24464,4.01166,6.50885,2.97339,0,0,0,0,3.76273,5.9959,3.62773,9.01e-05,9.01e-05,9.01e-05
4,9.58338,3.49606,5.59427,2.79565,0,0,0,0,3.75498,5.91667,3.63687,0.000117081,0.000117081,0.000117081
5,11.9594,3.17924,5.66748,2.40739,0,0,0,0,3.71335,5.79866,3.52707,0.00014035,0.00014035,0.00014035
6,14.2811,3.6548,5.56199,2.46253,0,0,0,0,3.58962,5.68165,3.32375,0.000159906,0.000159906,0.000159906
7,16.5932,2.71383,5.48373,2.25524,0,0,0,0,3.51574,5.51505,3.046,0.00017575,0.00017575,0.00017575
8,18.8259,2.71486,5.16265,2.01092,0,0,0,0,3.02988,5.40077,2.59464,0.000187881,0.000187881,0.000187881
9,21.0951,2.35213,5.11782,1.84558,0,0,0,0,3.02988,5.40077,2.59464,0.0001963,0.0001963,0.0001963
10,23.3463,2.55234,5.20695,2.06943,0,0,0,0,2.67705,5.14484,2.23927,0.000201006,0.000201006,0.000201006
11,25.5368,2.71288,5.17826,1.98208,0,0,0,0,2.67705,5.14484,2.23927,0.000202,0.000202,0.000202
12,27.7152,2.78598,5.09938,2.18495,0,0,0,0,2.44527,5.05246,1.97997,0.000199281,0.000199281,0.000199281
13,29.9434,2.34877,5.25794,2.06673,0,0,0,0,2.44527,5.05246,1.97997,0.00019285,0.00019285,0.00019285
14,32.2033,2.90471,5.17388,2.042,0,0,0,0,2.45931,4.87933,1.9193,0.000182706,0.000182706,0.000182706
15,34.4182,2.23405,4.95394,1.77514,0,0,0,0,2.45931,4.87933,1.9193,0.00016885,0.00016885,0.00016885
16,36.6591,2.05211,4.90834,1.70171,0,0,0,0,2.45931,4.87933,1.9193,0.000151281,0.000151281,0.000151281
17,38.8175,2.10912,5.0728,1.68234,0,0,0,0,2.30427,4.71979,1.83462,0.00013,0.00013,0.00013
18,41.0569,2.11755,4.88933,1.59464,0,0,0,0,2.30427,4.71979,1.83462,0.000105006,0.000105006,0.000105006
19,43.2477,2.15867,4.85722,1.73481,0,0,0,0,2.30427,4.71979,1.83462,7.63e-05,7.63e-05,7.63e-05
20,45.4592,2.36058,4.92235,1.76146,0,0,0,0,2.27087,4.62213,1.78661,4.38813e-05,4.38813e-05,4.38813e-05
